0, 7.558
1, 6.120
2, 5.308
3, 4.566
4, 4.939
5, 4.647
6, 3.825
7, 3.617
8, 4.232
9, 3.207
10, 4.050
11, 3.239
12, 3.756
13, 2.844
14, 3.184
15, 2.782
16, 3.187
17, 3.231
18, 3.224
19, 2.658
20, 3.041
21, 2.937
22, 2.406
23, 2.531
24, 2.712
25, 3.353
26, 2.173
27, 2.764
28, 2.810
29, 2.707
30, 2.519
31, 2.719
32, 2.476
33, 2.453
34, 2.105
35, 2.553
36, 3.071
37, 2.344
38, 2.113
39, 2.304
40, 2.677
41, 2.512
42, 2.576
43, 2.458
44, 2.525
45, 2.171
46, 2.482
47, 2.254
48, 2.923
49, 2.076
50, 2.896
51, 2.597
52, 2.792
53, 2.174
54, 2.974
55, 2.353
56, 2.140
